Map{
  6,14,12, 4, 0, 2,12, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  7,15, 2,12, 4, 4, 3, 8,  0, 0, 0, 0, 0, 0, 0, 0,
  7,13, 2,12, 7,11,10,12,  0, 0, 0, 0, 0, 0, 0, 0,
  7,11, 8, 5, 1, 6, 8, 5,  0, 0, 0, 0, 0, 0, 0, 0,
  5, 2,14,15,14, 9, 6,13,  0, 0, 0, 0, 0, 0, 0, 0,
  3,12, 3,15, 9, 6,15, 9,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 7, 8, 5, 2,11,15,12,  0, 0, 0, 0, 0, 0, 0, 0,
  2,13, 2,15, 8, 0, 7, 9,  0, 0, 0, 0, 0, 0, 0, 0,

  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0,
  0, 0, 0, 0, 0, 0, 0, 0,  0, 0, 0, 0, 0, 0, 0, 0
}

Screens{
  [0] = "pixmaps/room00.png",
  [1] = "pixmaps/room01.png",
  [2] = "pixmaps/room02.png",
  [3] = "pixmaps/room03.png",
  [4] = "pixmaps/room04.png",
  [5] = "pixmaps/room05.png",
  [6] = "pixmaps/room06.png",
  [7] = "pixmaps/room07.png",
  [8] = "pixmaps/room08.png",
  [9] = "pixmaps/room09.png",
  [10] = "pixmaps/room10.png",
  [11] = "pixmaps/room11.png",
  [12] = "pixmaps/room12.png",
  [13] = "pixmaps/room13.png",
  [14] = "pixmaps/room14.png",
  [15] = "pixmaps/room15.png"
}
